year,season,episode,title,director,stars,Votes,writers,Central Perk,City spaces,Hallways,Hospitals,Jobs,Main apartments,Other lodging,Social Life,Transport
1999,6,2,The One Where Ross Hugs Rachel,Gail Mancuso,8.2,2883,['Shana Goldberg-Meehan'],0.36363636363636365,0.0,0.09090909090909091,0.0,0.09090909090909091,0.45454545454545453,0.0,0.0,0.0
1999,6,3,The One with Ross's Denial,Gary Halvorson,8.2,2851,['Seth Kurland'],0.3076923076923077,0.0,0.0,0.0,0.0,0.6923076923076923,0.0,0.0,0.0
1999,6,4,The One Where Joey Loses His Insurance,Gary Halvorson,8.5,2976,"['Andrew Reich', 'Ted Cohen']",0.11764705882352941,0.0,0.0,0.0,0.4117647058823529,0.47058823529411764,0.0,0.0,0.0
1999,6,5,The One with Joey's Porsche,Gary Halvorson,8.2,2902,"['Perry Rein', 'Gigi McCreery']",0.15384615384615385,0.23076923076923078,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.07692307692307693
1999,6,6,The One on the Last Night,David Schwimmer,8.5,2942,['Scott Silveri'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1999,6,7,The One Where Phoebe Runs,Gary Halvorson,8.4,2959,"['Ellen Plummer', 'Sherry Bilsing']",0.14285714285714285,0.21428571428571427,0.0,0.0,0.0,0.42857142857142855,0.21428571428571427,0.0,0.0
1999,6,8,The One with Ross' Teeth,Gary Halvorson,8.5,3074,"['Perry Rein', 'Gigi McCreery']",0.125,0.0,0.0,0.0,0.25,0.4375,0.1875,0.0,0.0
1999,6,9,The One Where Ross Got High,Kevin Bright,9.2,4187,['Greg Malins'],0.0,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0
1999,6,10,The One with the Routine,Kevin Bright,8.6,3139,['Brian Boyle'],0.08333333333333333,0.08333333333333333,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0
2000,6,11,The One with the Apothecary Table,Kevin Bright,8.1,2892,"['Zachary Rosenblatt', 'Brian Boyle']",0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0.0,0.3333333333333333,0.25,0.0,0.0
