episode_number,title,writers,type,speaker,dialogue_raw,dialogue_clean,stage_direction_inline,scene_note_inline,stage_direction_only,scene_note_only,content,season,episode
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,"Paul the Wine Guy, Paul?","Paul the Wine Guy, Paul?",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?,Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,He finally asked you out?,He finally asked you out?,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,Yes!,Yes!,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Chandler,"Ooh, this is a Dear Diary moment.","Ooh, this is a Dear Diary moment.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,"Rach, wait, I can cancel...","Rach, wait, I can cancel...",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Rachel,"Please, no, go, that'd be fine!","Please, no, go, that'd be fine!",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,"(to Ross) Are, are you okay? I mean, do you want me to stay?","Are, are you okay? I mean, do you want me to stay?",(to Ross),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,(choked voice) That'd be good...,That'd be good...,(choked voice),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,(horrified) Really?,Really?,(horrified),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,"(normal voice) No, go on! It's Paul the Wine Guy!","No, go on! It's Paul the Wine Guy!",(normal voice),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Phoebe,"What does that mean?   Does he sell it, drink it, or just complain a lot? (Chandler doesn't know.)","What does that mean?   Does he sell it, drink it, or just complain a lot?",(Chandler doesn't know.),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,stage_direction,,,,,,There's a knock on the door and it's Paul.,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,"Hi, come in! Paul, this is.. (They are all lined up next to the door.)... everybody, everybody, this is Paul.","Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul.",(They are all lined up next to the door.),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,All,Hey! Paul! Hi! The Wine Guy! Hey!,Hey! Paul! Hi! The Wine Guy! Hey!,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Chandler,"I'm sorry, I didn't catch your name. Paul, was it?","I'm sorry, I didn't catch your name. Paul, was it?",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...","Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,A wandering?,A wandering?,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,"Change!  Okay, sit down. (Shows Paul in) Two seconds.","Change!  Okay, sit down.  Two seconds.",(Shows Paul in),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Phoebe,"Ooh, I just pulled out four eyelashes. That can't be good.","Ooh, I just pulled out four eyelashes. That can't be good.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,stage_direction,,,,,,Monica goes to change.,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Joey,"Hey, Paul!","Hey, Paul!",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Paul,Yeah?,Yeah?,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Joey,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.","Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,"(yelling from the bedroom) Shut up, Joey!","Shut up, Joey!",(yelling from the bedroom),,,,,01,01
